City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
327,Pangnirtung,CA,66.1451,-65.7125,46.44,73,100,1.77,overcast clouds
328,San Ignacio,BZ,17.1561,-89.0714,73.54,94,0,0.0,clear sky
329,Port Augusta,AU,-32.5,137.7667,57.4,50,100,12.5,overcast clouds
330,Quatre Cocos,MU,-20.2078,57.7625,75.09,57,44,20.2,scattered clouds
331,Mehamn,NO,71.0357,27.8492,53.51,83,100,5.28,overcast clouds
332,Goderich,CA,43.7501,-81.7165,62.92,82,97,2.3,overcast clouds
333,Asau,RO,46.4333,26.4,67.28,46,99,7.27,overcast clouds
334,Cidreira,BR,-30.1811,-50.2056,59.2,84,100,6.15,overcast clouds
335,Chapais,CA,49.7834,-74.8492,53.38,95,100,7.85,overcast clouds
336,Talcahuano,CL,-36.7167,-73.1167,37.08,100,75,3.44,mist
337,Moramanga,MG,-18.9333,48.2,62.49,63,7,7.81,clear sky
338,South Lake Tahoe,US,38.9332,-119.9844,55.35,69,5,4.88,clear sky
339,Annur,IN,11.2333,77.1333,86.41,51,100,1.63,overcast clouds
340,Guerrero Negro,MX,27.9769,-114.0611,66.6,88,0,11.68,clear sky
341,Hirara,JP,24.8,125.2833,89.87,74,75,11.5,broken clouds
342,Rocca Priora,IT,41.7786,12.7482,71.19,50,0,7.36,clear sky
343,Dunedin,NZ,-45.8742,170.5036,46.8,97,100,11.01,light rain
344,Rawa Mazowiecka,PL,51.7644,20.2549,65.48,70,82,6.93,broken clouds
